settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
25725857361	2026-02-20 14:18:12 UTC	2026-02-25 00:31:39 UTC	2026-02-27 00:31:39 UTC	3202.73	USD																		
25725857361						Order	113-2269074-7685066			DsrWXPxvJ	Amazon.com	ItemPrice	Principal	44.95	MFN	2026-02-21	2026-02-21 06:26:19 UTC	153475228401441			VC-SL-OO-SND-1-MFN	1	
25725857361						Order	113-2269074-7685066			DsrWXPxvJ	Amazon.com	ItemPrice	Tax	1.75	MFN	2026-02-21	2026-02-21 06:26:19 UTC	153475228401441			VC-SL-OO-SND-1-MFN	1	
25725857361						Order	113-2269074-7685066			DsrWXPxvJ	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-1.75	MFN	2026-02-21	2026-02-21 06:26:19 UTC	153475228401441			VC-SL-OO-SND-1-MFN	1	
25725857361						Order	113-2269074-7685066			DsrWXPxvJ	Amazon.com	ItemFees	Commission	-6.74	MFN	2026-02-21	2026-02-21 06:26:19 UTC	153475228401441			VC-SL-OO-SND-1-MFN	1	
25725857361						Order	111-6633829-6657842	111-6633829-6657842		Pk6bYCQXT	Amazon.com	ItemPrice	Principal	99.95	AFN	2026-02-21	2026-02-21 12:52:09 UTC	153515379484481			VC-ST-PP-BSH-1	1	
25725857361						Order	111-6633829-6657842	111-6633829-6657842		Pk6bYCQXT	Amazon.com	ItemPrice	Tax	6.70	AFN	2026-02-21	2026-02-21 12:52:09 UTC	153515379484481			VC-ST-PP-BSH-1	1	
25725857361						Order	111-6633829-6657842	111-6633829-6657842		Pk6bYCQXT	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-6.70	AFN	2026-02-21	2026-02-21 12:52:09 UTC	153515379484481			VC-ST-PP-BSH-1	1	
25725857361						Order	111-6633829-6657842	111-6633829-6657842		Pk6bYCQXT	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-7.31	AFN	2026-02-21	2026-02-21 12:52:09 UTC	153515379484481			VC-ST-PP-BSH-1	1	
25725857361						Order	111-6633829-6657842	111-6633829-6657842		Pk6bYCQXT	Amazon.com	ItemFees	Commission	-14.99	AFN	2026-02-21	2026-02-21 12:52:09 UTC	153515379484481			VC-ST-PP-BSH-1	1	
25725857361						Order	113-5811041-9783433	113-5811041-9783433		PfD6V3BGT	Amazon.com	ItemPrice	Principal	44.95	AFN	2026-02-21	2026-02-21 12:06:29 UTC	153568922324521			VC-SL-OO-QTZ-1	1	
25725857361						Order	113-5811041-9783433	113-5811041-9783433		PfD6V3BGT	Amazon.com	ItemPrice	Tax	4.76	AFN	2026-02-21	2026-02-21 12:06:29 UTC	153568922324521			VC-SL-OO-QTZ-1	1	
25725857361						Order	113-5811041-9783433	113-5811041-9783433		PfD6V3BGT	Amazon.com	ItemPrice	Shipping	1.49	AFN	2026-02-21	2026-02-21 12:06:29 UTC	153568922324521			VC-SL-OO-QTZ-1	1	
25725857361						Order	113-5811041-9783433	113-5811041-9783433		PfD6V3BGT	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-9.52	AFN	2026-02-21	2026-02-21 12:06:29 UTC	153568922324521			VC-SL-OO-QTZ-1	1	
